id,rating,title,text,date,platform
1,5,"Review","hi；first of all I want to say thank u because this apps changed me a lot",2026-04-23,Android
2,1,"Review","If we pledge our shares once and later unpledge them； we are being charged twice — once for pledging and once for unpledging. That itself is understandable； but the problem is that I have been charged multiple times even though I performed this action only once. After pledging and unpledging my shares one time； I did not perform any further pledge or unpledge transactions. However； I am still being charged repeatedly.",2026-04-23,Android
3,1,"Review","it's very bad application 😕 extra charge much higher I hate this application",2026-04-23,Android
4,5,"Review","nice app",2026-04-23,Android
5,3,"Review","I wants to delete my account before approx 6 months and try 2-3 times but groww management may be poor in this.",2026-04-23,Android
6,5,"Review","best app",2026-04-23,Android
7,5,"Review","good",2026-04-23,Android
8,1,"Review","worst application and customer care. Do not use at all.They do not solve your queries copy paste random answers and close the chat before asking for user confirmation. Please avoid the application and try using some other app for investment.",2026-04-23,Android
9,1,"Review","It activated my F&O using a trick； I accidentally clicked on a button",2026-04-23,Android
10,4,"Review","best pofemnc",2026-04-23,Android
11,2,"Review","bahut baar sell order execute nahin hote jiske baje se loss hogya mera . trash app",2026-04-23,Android
12,4,"Review","Thanks for working on my feedback 🤗 updated april23 April 2026 the basket button is slow in response； I have to press it multiple time to turn is on off... make it more responsive pls",2026-04-23,Android
13,1,"Review","Data ke sath play krte hain data bech ke big money ko ya khud manipulation krte hai ； i have experience with tata elxsi full manipulation krte hain ye dont use it",2026-04-23,Android
14,1,"Review","bad",2026-04-23,Android
15,1,"Review","repeated ads. is headache. pl. stop this ad in my mobile. please stop this ad",2026-04-23,Android
16,5,"Review","excellent for all time 💯",2026-04-23,Android
17,4,"Review","nice app",2026-04-23,Android
18,5,"Review","thank",2026-04-23,Android
19,1,"Review","Not good for customers ； good for manipulation with hni",2026-04-23,Android
20,5,"Review","good",2026-04-23,Android
21,5,"Review","super",2026-04-23,Android
22,5,"Review","best app",2026-04-23,Android
23,1,"Review","baad",2026-04-23,Android
24,1,"Review","faltu h😡😡😡😡😡😡😡😡😡😡",2026-04-23,Android
25,4,"Review","easy an effective platform",2026-04-23,Android
26,5,"Review","Nice app Groww stock app",2026-04-23,Android
27,4,"Review","after recent updates issue in some stocks for 52 weeks highs and lows and full chart issue",2026-04-23,Android
28,5,"Review","good work and easy work 💯",2026-04-23,Android
29,5,"Review","friendly use interface",2026-04-23,Android
30,5,"Review","Best and easiest platform for investment.",2026-04-23,Android
31,5,"Review","Good 👍🏻",2026-04-23,Android
32,5,"Review","best investment trading app",2026-04-22,Android
33,1,"Review","bro pls solve my problem ive login from wrong which is mine but upi is not available on that number now your asking 50 rs it doesnt make sence please make change in it",2026-04-22,Android
34,5,"Review","very good",2026-04-22,Android
35,1,"Review","bad aap",2026-04-22,Android
36,4,"Review","aapka app achcha hai par char me direct buy aur sell aur sl aur target lagane ka option dijiye",2026-04-22,Android
37,1,"Review","labde ke bal",2026-04-22,Android
38,1,"Review","don't use this money West app groww nahi hoga.",2026-04-22,Android
39,5,"Review","nice app",2026-04-22,Android
40,5,"Review","best app",2026-04-22,Android
41,5,"Review","very good very good apps",2026-04-22,Android
42,1,"Review","Every single time it says PAN and BANK name missmatch literally i just have Name like shripada mg in bank and adhar and in pan it's compulsory name like malali Ganapathi shripada it include father name but it's rejecting because of my name",2026-04-22,Android
43,1,"Review","Sometimes the wrong calculation is displayed； at closing time some other value was shown and at the end of days calculation changed to less value.",2026-04-22,Android
44,5,"Review","Please add daily P/L dashboard on monthly calender.",2026-04-22,Android
45,5,"Review","Best app",2026-04-22,Android
46,5,"Review","jaberdast plateform",2026-04-22,Android
